stem_departments
Accounting & Finance department
Accounting department
Anatomy department
Astronomy department
Automotive Technology department
Aviation department
Biochemistry department
Biology department
Chemistry & Biochemistry department
Chemistry department
Computer Engineering department
Computer Information Systems department
Computer Science department
Earth Science department
Electrical Engineering department
Electrical Technology department
Engineering department
Environment department
Geology department
Health Science department
Kinesiology department
MacRomolecular Science & Eng department
Materials Science department
Mathematics department
Mechanical Engineering department
Medicine department
Natural Sciences department
Nutrition department
Pharmacology department
Pharmacy department
Physics department
Psychology department
Science department
Statistics department
